feedback_id,intern_id,mentor_id,week,feedback_text,professional_score,communication_score,initiative_score,created_at
F001,I001,M006,2,反馈记录不完整，阶段成果沉淀偏少。,69,66,57,2026-06-07
F002,I002,M001,2,对业务方向仍有迷茫，会议中表达比较沉默。,54,65,56,2026-06-07
F003,I003,M006,3,能够主动向导师确认目标，任务交付比较稳定。,97,99,77,2026-06-07
F004,I004,M001,3,交付质量不够稳定，需要导师给出更明确的节奏。,64,71,54,2026-06-07
F005,I005,M004,5,文档阅读认真，对岗位要求理解逐步加深。,77,75,59,2026-06-07
F006,I006,M005,4,交付质量不够稳定，需要导师给出更明确的节奏。,56,67,49,2026-06-07
F007,I007,M002,4,学习速度较快，能按时完成阶段任务。,85,68,79,2026-06-07
F008,I008,M001,5,本周任务推进偏慢，遇到问题后主动沟通不足。,68,74,73,2026-06-07
F009,I009,M004,5,学习速度较快，能按时完成阶段任务。,96,78,82,2026-06-07
F010,I010,M005,5,协作态度积极，能及时同步进展。,81,78,87,2026-06-07
F011,I011,M004,3,反馈记录不完整，阶段成果沉淀偏少。,50,60,46,2026-06-07
F012,I012,M001,2,协作态度积极，能及时同步进展。,80,91,64,2026-06-07
F013,I013,M002,3,协作态度积极，能及时同步进展。,81,83,95,2026-06-07
F014,I014,M003,2,文档阅读认真，对岗位要求理解逐步加深。,89,90,100,2026-06-07
F015,I015,M002,2,交付质量不够稳定，需要导师给出更明确的节奏。,56,62,66,2026-06-07
F016,I016,M005,5,反馈记录不完整，阶段成果沉淀偏少。,72,58,73,2026-06-07
F017,I017,M004,4,对业务方向仍有迷茫，会议中表达比较沉默。,55,50,56,2026-06-07
F018,I018,M001,5,文档阅读认真，对岗位要求理解逐步加深。,92,100,96,2026-06-07
F019,I019,M006,4,能够主动向导师确认目标，任务交付比较稳定。,80,63,64,2026-06-07
F020,I020,M003,4,反馈记录不完整，阶段成果沉淀偏少。,47,40,40,2026-06-07
